Name,WHO_Region,Cases_cumulative_total,Cases_cumulative_total_per_100000_population,Cases_newly_reported_in_last_7_days,Cases_newly_reported_in_last_7_days_per_100000_population,Cases_newly_reported_in_last_24_hours,Deaths_cumulative_total,Deaths_cumulative_total_per_100000_population,Deaths_newly_reported_in_last_7_days,Deaths_newly_reported_in_last_7_days_per_100000_population,Deaths_newly_reported_in last_24_hours
Global,,336790193,4320.84738147675,20961268,268.9224384577979,3777104,5560718,71.34119196110508,48607,0.623603160177056,8741
United States of America,Americas,67437353,20373.659,5300542,1601.359,1182465,849276,256.577,12124,3.663,2629
India,South-East Asia,38218773,2769.468,1900846,137.742,317532,487693,35.34,2658,0.193,491
Brazil,Americas,23211894,10920.191,582434,274.01,137103,621517,292.397,1279,0.602,351
The United Kingdom,Europe,15506754,22842.343,644997,950.118,107450,152872,225.189,1865,2.747,359
France,Europe,14779277,22723.59,2171404,3338.6,432853,125173,192.457,1505,2.314,227
Russian Federation,Europe,10938261,7495.324,214956,147.296,38850,324060,222.059,4888,3.349,684
Turkey,Europe,10663481,12643.584,468696,555.728,72615,85253,101.084,1128,1.337,176
Italy,Europe,9219391,15458.016,1248323,2093.045,200966,142205,238.433,2333,3.912,380
Spain,Europe,8676916,18331.791,698092,1474.865,55350,91437,193.18,610,1.289,18
Germany,Europe,8320386,10004.467,577158,693.977,133536,116315,139.858,1264,1.52,234
Argentina,Americas,7318305,16192.454,784670,1736.158,120982,118420,262.016,825,1.825,189
Iran (Islamic Republic of),Eastern Mediterranean,6231909,7419.562,19522,23.242,4060,132132,157.313,160,0.19,19
Colombia,Americas,5596917,10999.605,216076,424.654,28849,131268,257.981,808,1.588,138
Mexico,Americas,4434758,3439.59,151202,117.272,49343,301789,234.067,672,0.521,320
Poland,Europe,4406553,11608.981,141128,371.799,32835,103378,272.347,1958,5.158,315
Indonesia,South-East Asia,4277644,1563.903,8754,3.2,2116,144199,52.719,44,0.016,7
Ukraine,Europe,3799382,8687.527,72348,165.428,18479,98843,226.011,915,2.092,131
Netherlands,Europe,3680896,21145.357,249118,1431.089,38282,21178,121.66,65,0.373,10
South Africa,Africa,3568900,6017.499,28009,47.226,4322,93707,157.999,877,1.479,156
Philippines,Western Pacific,3293625,3005.651,235237,214.669,22958,53044,48.406,390,0.356,82
Canada,Americas,2822614,7478.678,197827,524.154,21163,31827,84.327,870,2.305,148
Malaysia,Western Pacific,2817163,8704.082,21930,67.756,3229,31831,98.347,93,0.287,13
Czechia,Europe,2678767,25049.395,116206,1086.653,25989,36972,345.729,171,1.599,12
Peru,Americas,2668224,8092.429,255647,775.349,36398,203645,617.633,488,1.48,95
Belgium,Europe,2575313,22350.414,181066,1571.421,22,28726,249.305,133,1.154,4
Thailand,South-East Asia,2353062,3371.15,52605,75.365,8129,21987,31.5,104,0.149,19
Iraq,Eastern Mediterranean,2131500,5299.274,28945,71.962,6234,24267,60.332,42,0.104,5
Viet Nam,Western Pacific,2078087,2134.906,119368,122.632,15959,36114,37.101,1150,1.181,142
Israel,Europe,2035432,23515.942,365382,4221.365,30772,8362,96.609,58,0.67,4
Portugal,Europe,2003169,19455.97,268826,2610.998,52549,19413,188.551,232,2.253,33
Japan,Western Pacific,1972893,1559.889,181823,143.76,39841,18457,14.593,45,0.036,13
Romania,Europe,1944916,10062.25,78814,407.753,16610,59385,307.235,271,1.402,58
Chile,Americas,1902657,9953.113,60439,316.166,9542,39431,206.27,141,0.738,4
Switzerland,Europe,1793851,20727.096,145297,1678.838,97,12128,140.133,66,0.763,0
Greece,Europe,1723496,16079.54,131036,1222.514,20100,22285,207.91,648,6.046,88
Sweden,Europe,1700336,16464.017,188764,1827.764,37886,15625,151.294,66,0.639,1
Bangladesh,South-East Asia,1653182,1003.818,48518,29.46,10888,28180,17.111,57,0.035,4
Australia,Western Pacific,1506602,5908.27,379694,1489.003,48832,2841,11.141,376,1.475,86
Austria,Europe,1505501,16913.72,129016,1449.445,30085,13494,151.6,58,0.652,8
Serbia,Europe,1484516,21431.777,98402,1420.618,17318,13152,189.874,168,2.425,28
Hungary,Europe,1385500,14181.855,67407,689.972,15526,40757,417.185,593,6.07,71
Pakistan,Eastern Mediterranean,1338993,606.174,29745,13.466,5472,29037,13.145,50,0.023,8
Denmark,Europe,1232238,21162.428,201600,3462.274,38759,3535,60.71,102,1.752,16
Kazakhstan,Europe,1185927,6315.948,87867,467.957,15995,18350,97.727,59,0.314,12
Ireland,Europe,1122428,22609.358,80216,1615.812,6843,6087,122.612,52,1.047,52
Jordan,Eastern Mediterranean,1117397,10951.508,29068,284.893,6216,13028,127.686,96,0.941,14
Morocco,Eastern Mediterranean,1068941,2896.03,51381,139.204,9355,15025,40.707,90,0.244,13
Georgia,Europe,1021943,25617.903,42708,1070.597,6351,14582,365.539,223,5.59,27
Cuba,Americas,1008616,8904.831,23214,204.951,2967,8348,73.703,18,0.159,3
Slovakia,Europe,896798,16431.273,24287,444.99,6011,17520,321.004,392,7.182,61
Nepal,South-East Asia,887769,3046.899,46472,159.496,10052,11632,39.922,22,0.076,4
Bulgaria,Europe,851945,12255.588,52002,748.071,10160,32431,466.534,593,8.531,93
Lebanon,Eastern Mediterranean,840514,12314.421,45770,670.579,6643,9429,138.145,104,1.524,17
Croatia,Europe,836807,20620.33,51774,1275.798,10427,13257,326.675,274,6.752,45
Tunisia,Eastern Mediterranean,817051,6913.253,60896,515.255,12698,25881,218.985,150,1.269,35
United Arab Emirates,Eastern Mediterranean,813931,8229.504,20617,208.455,2902,2200,22.244,19,0.192,2
Bolivia (Plurinational State of),Americas,774227,6632.619,76991,659.564,10835,20377,174.565,321,2.75,86
Belarus,Europe,719485,7614.145,8853,93.689,1387,5866,62.079,109,1.154,16
Republic of Korea,Western Pacific,712503,1389.73,33479,65.3,6603,6480,12.639,270,0.527,28
Guatemala,Americas,656456,3664.165,15292,85.356,2901,16191,90.374,64,0.357,12
Saudi Arabia,Eastern Mediterranean,632736,1817.482,39191,112.573,5928,8912,25.599,13,0.037,2
Ecuador,Americas,629507,3568.016,50982,288.964,0,34232,194.025,110,0.623,0
Azerbaijan,Europe,628166,6195.435,5285,52.125,1151,8550,84.326,70,0.69,9
Costa Rica,Americas,625952,12287.74,29564,580.356,5365,7425,145.756,39,0.766,4
Sri Lanka,South-East Asia,598536,2795.167,4217,19.693,0,15243,71.185,69,0.322,0
Panama,Americas,591843,13716.685,58284,1350.803,11519,7545,174.865,66,1.53,17
Lithuania,Europe,589074,21082.857,33009,1181.386,7057,7708,275.868,93,3.328,9
Slovenia,Europe,559312,26686.503,53351,2545.541,12285,6203,295.964,10,0.477,0
Norway,Europe,554778,10335.719,70099,1305.97,2096,1413,26.325,21,0.391,1
Myanmar,South-East Asia,533604,980.713,879,1.616,0,19306,35.483,8,0.015,0
Uruguay,Americas,531452,15299.174,68095,1960.285,10630,6253,180.008,51,1.468,5
Dominican Republic,Americas,517611,4771.527,41107,378.939,7153,4274,39.399,15,0.138,5
Paraguay,Americas,509795,7147.456,27289,382.599,5415,16866,236.466,177,2.482,22
Kuwait,Eastern Mediterranean,479640,11231.285,33093,774.908,4337,2480,58.072,7,0.164,1
Ethiopia,Africa,459959,400.091,8962,7.796,473,7190,6.254,100,0.087,6
Venezuela (Bolivarian Republic of),Americas,458731,1613.208,10268,36.109,2090,5387,18.944,21,0.074,4
Puerto Rico,Americas,423221,14793.525,49550,1732.001,4305,3563,124.543,142,4.964,21
Finland,Europe,416079,7530.444,43600,789.099,870,1790,32.396,3,0.054,0
Mongolia,Western Pacific,411368,12548.249,10916,332.978,0,2016,61.495,10,0.305,0
Egypt,Eastern Mediterranean,403990,394.774,8302,8.113,1379,22238,21.731,196,0.192,33
Libya,Eastern Mediterranean,400113,5822.966,5044,73.407,1173,5874,85.486,61,0.888,11
Republic of Moldova,Europe,396678,9833.457,13134,325.586,3255,10470,259.546,64,1.587,8
Honduras,Americas,385964,3896.813,3524,35.579,602,10458,105.587,8,0.081,2
Armenia,Europe,349329,11788.775,2518,84.975,621,8026,270.853,12,0.405,1
Bosnia and Herzegovina,Europe,324026,9876.387,16593,505.758,2992,13912,424.041,216,6.584,24
Kenya,Africa,319011,593.274,4521,8.408,762,5520,10.266,51,0.095,16
Bahrain,Eastern Mediterranean,317385,18652.425,18843,1107.386,3459,1398,82.159,1,0.059,0
Oman,Eastern Mediterranean,316472,6197.282,6884,134.805,1619,4124,80.758,5,0.098,2
Latvia,Europe,314142,16467.27,20747,1087.554,5082,4759,249.466,69,3.617,17
Qatar,Eastern Mediterranean,310779,10786.994,27875,967.528,3723,631,21.902,10,0.347,1
Zambia,Africa,299172,1627.354,9757,53.073,1140,3877,21.089,47,0.256,4
Singapore,Western Pacific,296077,5060.849,7952,135.924,1615,844,14.427,5,0.085,1
Estonia,Europe,278498,20955.834,18102,1362.101,3840,1994,150.04,27,2.032,4
Nigeria,Africa,251571,122.039,1985,0.963,230,3117,1.512,25,0.012,1
North Macedonia,Europe,249704,11985.524,11657,559.523,2051,8153,391.335,76,3.648,7
Botswana,Africa,239887,10200.895,7455,317.015,0,2534,107.755,37,1.573,0
Albania,Europe,239129,8309.438,14560,505.942,2643,3283,114.08,30,1.042,6
Cyprus,Europe,233082,26247.825,17811,2005.732,2226,689,77.59,20,2.252,0
Algeria,Africa,228918,522.035,5112,11.658,1359,6443,14.693,71,0.162,8
Zimbabwe,Africa,226887,1526.53,2454,16.511,0,5266,35.43,51,0.343,0
Mozambique,Africa,220908,706.783,6101,19.52,667,2140,6.847,35,0.112,4
Uzbekistan,Europe,209578,626.182,7105,21.228,1307,1529,4.568,21,0.063,4
Montenegro,Europe,208166,33144.18,11368,1810.012,1460,2485,395.662,32,5.095,6
Kyrgyzstan,Europe,193028,2958.65,5408,82.892,870,2842,43.561,16,0.245,4
